Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
Ubisoft Shanghai/Paris,1.08,58.0,6.0,1
Shin'En,1.08,67.6,7.67,10
Inxile Entertainment,1.08,67.67,6.96,4
Compile Heart,1.07,63.73,7.11,10
Silicon Studio,1.06,79.0,7.7,2
Hypnotix,1.06,67.57,7.66,5
Blue Byte,1.06,67.71,6.46,6
Sega Am3,1.05,80.0,7.9,1
Kcek,1.05,84.5,8.0,2
Evolution Games,1.05,62.0,7.05,1
"Valuewave Co.,Ltd.",1.05,65.0,6.9,3
Overkill Software,1.05,76.0,5.3,1
Eugen Systems,1.05,75.25,7.38,2
Access Games,1.05,63.4,7.36,5
Supervillain Studios,1.04,72.5,7.85,4
Takara Tomy,1.04,62.71,6.77,7
"Electronic Arts, Ea Redwood Shores",1.03,71.0,7.7,1
"Tantalus Interactive, Tantatus, Nintendo",1.03,86.0,8.4,1
Iron Galaxy Studios,1.03,71.0,6.62,4
"Sega, Dimps Corporation",1.02,66.0,6.9,1
Mistwalker,1.02,74.5,7.9,2
Ubisoft Casablanca,1.02,50.75,5.9,4
Eighting/Raizing,1.02,72.25,8.47,4
Venom Games,1.02,67.6,7.06,4
Mumbojumbo,1.02,65.2,7.5,9
Hyde,1.01,71.0,7.5,1
Thq Digital Studio Phoenix,1.01,62.0,6.95,1
Psygnosis,1.01,91.0,8.33,3
